max_temp,min_temp,rainfall,humidity,temp_range,is_heat_day,is_dry_day,climate_risk,avg_temp_7d,rainfall_7d_sum,dry_spell_len
26.01,11.47,0.0,62.4,14.540000000000001,0,1,High,25.935714285714287,0.0,1
26.04,10.3,0.0,61.28,15.739999999999998,0,1,High,25.935714285714287,0.0,2
26.48,10.71,0.0,61.77,15.77,0,1,High,25.935714285714287,0.0,3
26.42,11.53,0.0,60.74,14.890000000000002,0,1,High,25.935714285714287,0.0,4
26.18,11.27,0.0,63.35,14.91,0,1,High,25.935714285714287,0.0,5
25.58,11.37,0.0,61.9,14.209999999999999,0,1,High,25.935714285714287,0.0,6
24.84,10.48,0.0,61.79,14.36,0,1,High,25.935714285714287,0.0,7
25.9,10.26,0.0,60.65,15.639999999999999,0,1,High,25.919999999999998,0.0,8
25.37,11.0,0.0,64.34,14.370000000000001,0,1,High,25.82428571428571,0.0,9
26.61,12.11,0.0,62.44,14.5,0,1,High,25.842857142857145,0.0,10
28.34,13.66,0.0,60.19,14.68,0,1,High,26.11714285714286,0.0,11
28.38,15.07,0.0,59.77,13.309999999999999,0,1,High,26.431428571428572,0.0,12
28.96,15.14,0.0,58.56,13.82,0,1,High,26.91428571428571,0.0,13
29.57,15.08,0.0,57.07,14.49,0,1,High,27.59,0.0,14
29.75,16.33,0.0,63.38,13.420000000000002,0,1,High,28.140000000000004,0.0,15
29.09,15.92,0.0,60.43,13.17,0,1,High,28.671428571428574,0.0,16
28.93,16.53,0.0,56.19,12.399999999999999,0,1,High,29.002857142857142,0.0,17
28.56,13.03,0.0,54.36,15.53,0,1,High,29.034285714285712,0.0,18
28.07,12.76,0.0,52.93,15.31,0,1,High,28.990000000000002,0.0,19
27.85,12.03,0.0,43.41,15.820000000000002,0,1,High,28.831428571428575,0.0,20
28.23,11.65,0.0,41.33,16.58,0,1,High,28.639999999999997,0.0,21
28.24,11.89,0.0,49.3,16.349999999999998,0,1,High,28.424285714285713,0.0,22
26.61,12.77,10.23,69.02,13.84,0,0,Low,28.069999999999997,10.23,1
26.11,9.99,0.0,67.95,16.119999999999997,0,1,High,27.66714285714286,10.23,1
26.93,9.49,0.0,53.74,17.439999999999998,0,1,High,27.434285714285718,10.23,2
27.18,9.74,0.0,46.09,17.439999999999998,0,1,High,27.307142857142857,10.23,3
27.44,9.65,0.0,47.55,17.79,0,1,High,27.248571428571427,10.23,4
28.07,10.03,0.0,52.14,18.04,0,1,High,27.225714285714286,10.23,5
28.69,10.62,0.0,48.18,18.07,0,1,High,27.29,10.23,6
28.8,11.49,0.0,43.86,17.310000000000002,0,1,High,27.602857142857143,0.0,7
29.51,11.6,0.0,37.9,17.910000000000004,0,1,High,28.08857142857143,0.0,8
29.88,11.45,0.0,36.66,18.43,0,1,High,28.509999999999998,0.0,9
30.43,11.92,0.0,39.93,18.509999999999998,0,1,High,28.974285714285717,0.0,10
30.08,12.26,0.0,44.46,17.82,0,1,High,29.351428571428574,0.0,11
30.81,14.18,0.0,41.17,16.63,0,1,High,29.74285714285714,0.0,12
30.69,14.88,0.0,40.67,15.81,0,1,High,30.02857142857143,0.0,13
28.41,14.75,0.0,44.84,13.66,0,1,High,29.972857142857144,0.0,14
28.2,16.53,0.0,51.71,11.669999999999998,0,1,High,29.785714285714285,0.0,15
28.86,14.72,0.0,63.01,14.139999999999999,0,1,High,29.639999999999997,0.0,16
28.79,14.04,0.0,50.06,14.75,0,1,High,29.405714285714282,0.0,17
29.31,17.74,0.0,44.68,11.57,0,1,High,29.295714285714286,0.0,18
29.99,14.61,0.0,57.59,15.379999999999999,0,1,High,29.178571428571427,0.0,19
28.35,12.87,0.0,67.98,15.480000000000002,0,1,High,28.844285714285714,0.0,20
30.11,13.01,0.0,52.78,17.1,0,1,High,29.087142857142858,0.0,21
30.91,13.65,0.0,52.43,17.259999999999998,0,1,High,29.474285714285713,0.0,22
30.89,16.52,0.0,54.37,14.370000000000001,0,1,High,29.764285714285712,0.0,23
31.43,15.47,0.0,50.43,15.959999999999999,0,1,High,30.141428571428573,0.0,24
32.54,14.6,0.0,44.59,17.939999999999998,0,1,High,30.602857142857143,0.0,25
32.89,14.22,0.0,39.95,18.67,0,1,High,31.017142857142858,0.0,26
32.95,15.4,0.0,40.74,17.550000000000004,0,1,High,31.674285714285713,0.0,27
33.29,15.54,0.0,43.06,17.75,0,1,High,32.128571428571426,0.0,28
33.12,15.34,0.0,41.74,17.779999999999998,0,1,High,32.44428571428571,0.0,29
33.37,16.57,0.0,42.82,16.799999999999997,0,1,High,32.79857142857143,0.0,30
33.78,17.81,0.0,43.97,15.970000000000002,0,1,High,33.13428571428572,0.0,31
34.01,17.62,0.0,42.07,16.389999999999997,0,1,High,33.34428571428571,0.0,32
33.87,16.9,0.0,34.98,16.97,0,1,High,33.48428571428571,0.0,33
34.62,16.74,0.0,35.99,17.88,0,1,High,33.722857142857144,0.0,34
34.95,17.32,0.0,35.51,17.630000000000003,0,1,High,33.959999999999994,0.0,35
35.11,17.11,0.0,33.97,18.0,1,1,High,34.244285714285716,0.0,36
34.65,20.04,0.0,36.41,14.61,0,1,High,34.42714285714286,0.0,37
34.88,19.39,0.0,38.84,15.490000000000002,0,1,High,34.58428571428571,0.0,38
34.51,20.82,0.0,36.44,13.689999999999998,0,1,High,34.65571428571429,0.0,39
33.78,18.63,0.0,47.53,15.150000000000002,0,1,High,34.642857142857146,0.0,40
34.86,17.6,0.0,41.98,17.259999999999998,0,1,High,34.67714285714286,0.0,41
35.88,17.2,0.0,37.86,18.680000000000003,1,1,High,34.81,0.0,42
35.93,18.67,0.0,39.73,17.259999999999998,1,1,High,34.92714285714286,0.0,43
35.49,18.45,0.0,45.18,17.040000000000003,1,1,High,35.04714285714286,0.0,44
36.1,17.78,0.0,43.85,18.32,1,1,High,35.221428571428575,0.0,45
36.13,19.29,0.0,37.51,16.840000000000003,1,1,High,35.45285714285715,0.0,46
36.27,19.86,0.0,32.89,16.410000000000004,1,1,High,35.80857142857143,0.0,47
36.13,20.98,0.0,29.76,15.150000000000002,1,1,High,35.99,0.0,48
36.3,19.95,0.0,35.04,16.349999999999998,1,1,High,36.05,0.0,49
36.31,20.18,0.0,27.3,16.130000000000003,1,1,High,36.104285714285716,0.0,50
32.3,22.08,0.02,31.46,10.219999999999999,0,1,High,35.64857142857143,0.02,51
32.59,20.99,0.05,42.09,11.600000000000005,0,1,High,35.14714285714286,0.07,52
32.66,21.01,0.0,47.02,11.649999999999995,0,1,High,34.651428571428575,0.07,53
33.86,21.34,0.85,48.07,12.52,0,1,High,34.30714285714286,0.9199999999999999,54
35.24,19.84,0.39,46.51,15.400000000000002,1,1,High,34.18,1.31,55
34.64,17.65,0.0,46.64,16.990000000000002,0,1,High,33.94285714285714,1.31,56
34.19,16.28,0.0,50.69,17.909999999999997,0,1,High,33.64,1.31,57
33.53,14.59,0.0,48.58,18.94,0,1,High,33.815714285714286,1.29,58
33.47,14.8,0.0,45.48,18.669999999999998,0,1,High,33.94142857142857,1.24,59
36.74,16.75,0.0,31.49,19.990000000000002,1,1,High,34.52428571428571,1.24,60
36.6,18.8,0.0,24.34,17.8,1,1,High,34.91571428571429,0.3900000000000001,61
38.22,20.53,0.0,24.62,17.689999999999998,1,1,High,35.34142857142857,0.0,62
38.0,22.77,0.0,29.61,15.23,1,1,High,35.82142857142857,0.0,63
37.43,20.7,0.0,36.98,16.73,1,1,High,36.284285714285716,0.0,64
38.49,20.39,0.0,39.17,18.1,1,1,High,36.99285714285714,0.0,65
38.63,17.9,0.0,46.5,20.730000000000004,1,1,High,37.730000000000004,0.0,66
36.27,18.43,0.0,54.19,17.840000000000003,1,1,High,37.66285714285714,0.0,67
38.81,18.11,0.0,46.34,20.700000000000003,1,1,High,37.978571428571435,0.0,68
38.9,19.25,0.0,37.09,19.65,1,1,High,38.07571428571429,0.0,69
39.27,18.22,0.0,40.36,21.050000000000004,1,1,High,38.25714285714286,0.0,70
39.51,20.03,0.0,32.55,19.479999999999997,1,1,High,38.55428571428571,0.0,71
38.96,20.71,0.0,40.43,18.25,1,1,High,38.621428571428574,0.0,72
35.39,20.73,0.0,42.92,14.66,1,1,High,38.15857142857143,0.0,73
38.75,19.98,0.0,37.91,18.77,1,1,High,38.51285714285715,0.0,74
37.67,20.69,0.13,37.17,16.98,1,1,High,38.35,0.13000000000000012,75
38.16,21.22,0.0,27.05,16.939999999999998,1,1,High,38.24428571428571,0.13000000000000012,76
